peak	gene	distance	peak_type
chr1_3094399_3095523			intergenic
chr1_3113503_3114077			intergenic
chr1_3119414_3121804			intergenic
chr1_3181343_3181401			intergenic
chr1_3198296_3198611			intergenic
chr1_3210204_3210605			intergenic
chr1_3292586_3292976	Xkr4;Gm1992	0;-173611	distal;distal
chr1_3371598_3371961	Xkr4;Gm1992	0;-94626	distal;distal
chr1_3399683_3400422	Xkr4;Gm1992	0;-66165	distal;distal
chr1_3406113_3406524	Xkr4;Gm1992	0;-60063	distal;distal
chr1_3407398_3407621	Xkr4;Gm1992	0;-58966	distal;distal
chr1_3447402_3447604	Xkr4;Gm1992	0;-18983	distal;distal
chr1_3477039_3477771	Xkr4;Gm1992	0;10453	distal;distal
chr1_3508598_3509041	Xkr4;Gm1992	0;42012	distal;distal
chr1_3514720_3515377	Xkr4;Gm1992	0;48134	distal;distal
chr1_3649122_3649334	Xkr4;Gm19938	0;9570	distal;distal
chr1_3662609_3663056	Xkr4;Gm19938	0;-3706	distal;distal
chr1_3669432_3672890	Xkr4	0	promoter
chr1_3841966_3842496	Gm37381	143488	distal
chr1_3900224_3900845	Gm37381	85139	distal
chr1_3903399_3903929	Gm37381	82055	distal
chr1_3913704_3914029	Gm37381	71955	distal
chr1_4098158_4098427	Rp1;Gm37381	0;-111944	distal;distal
chr1_4142531_4142848	Rp1;Gm37381	0;-156317	distal;distal
chr1_4228117_4228550	Rp1	131764	distal
chr1_4332429_4332845	Rp1	27469	distal
chr1_4412454_4412806	Rp1	-3214	distal
chr1_4414208_4414606	Rp1	-4968	distal
chr1_4416742_4417072	Rp1	-7502	distal
chr1_4454770_4455171	Sox17	41192	distal
chr1_4490449_4494723	Sox17	1640	distal
chr1_4495948_4498141	Sox17;Gm37587	0;0	promoter;promoter
chr1_4519344_4519712	Gm37587	21871	distal
chr1_4527182_4527672	Gm37587	29709	distal
chr1_4543999_4544358	Gm37323	41894	distal
chr1_4571102_4572563	Gm37323	13689	distal
chr1_4766639_4767143	Mrpl15	18567	distal
chr1_4768316_4768796	Mrpl15	16914	distal
chr1_4769827_4770575	Mrpl15	15135	distal
chr1_4780035_4780487	Mrpl15	5223	distal
chr1_4784893_4786622	Mrpl15	0	promoter
chr1_4807173_4808679	Lypla1	0	promoter
chr1_4821001_4821116	Lypla1	13091	distal
chr1_4856824_4858906	Tcea1	0	promoter
chr1_4914588_4914730	Rgs20;Gm16041	0;-56127	distal;distal
chr1_4923057_4923478	Rgs20;Gm16041	0;-47379	distal;distal
chr1_4926231_4926701	Rgs20;Gm16041	0;-44156	distal;distal
chr1_4969719_4971621	Rgs20;Gm16041	0;0	distal;promoter
chr1_5012780_5013257	Rgs20	5478	distal
chr1_5017609_5024944	Rgs20	0	promoter
chr1_5033201_5033600	Rgs20	-13663	distal
chr1_5055914_5056384	Rgs20;Atp6v1h	0;-13634	distal;distal
chr1_5070144_5070698	Rgs20;Atp6v1h	0;0	promoter;distal
chr1_5082516_5083925	Atp6v1h	0	promoter
chr1_5103171_5103550	Atp6v1h	20018	distal
chr1_5170445_5170809	Atp6v1h	87292	distal
chr1_5183490_5183901	Atp6v1h	100337	distal
chr1_5220674_5221137	Atp6v1h	137521	distal
chr1_5232387_5233419	Atp6v1h	149234	distal
chr1_5588178_5588946	Oprk1	0	promoter
chr1_5904784_5905207	Npbwr1	12191	distal
chr1_5915255_5918102	Npbwr1	0	promoter
chr1_6097039_6097671	4732440D04Rik	116919	distal
chr1_6135094_6135427	4732440D04Rik	79163	distal
chr1_6152466_6152800	4732440D04Rik	61790	distal
chr1_6213822_6216100	Rb1cc1;4732440D04Rik	0;0	promoter;promoter
chr1_6272170_6272696	Rb1cc1;4732440D04Rik	0;-56878	distal;distal
chr1_6282357_6282863	4732440D04Rik	-67065	distal
chr1_6287946_6289007	Alkal1	-70211	distal
chr1_6289734_6290157	Alkal1	-69061	distal
chr1_6320491_6320946	Alkal1	-38272	distal
chr1_6330678_6330758	Alkal1	-28460	distal
chr1_6358864_6359826	Alkal1	0	promoter
chr1_6382397_6383793	Alkal1	23180	distal
chr1_6401529_6401865	Alkal1	42312	distal
chr1_6406263_6406817	Alkal1	47046	distal
chr1_6410084_6410472	Alkal1	50867	distal
chr1_6440895_6441943	St18	-45288	distal
chr1_6483062_6484182	St18	-3049	distal
chr1_6520959_6521128	St18	33629	distal
chr1_6638845_6639539	St18	-90512	distal
chr1_6706541_6706616	St18	-23435	distal
chr1_6717674_6718137	St18	-11914	distal
chr1_6728995_6730402	St18	0	promoter
chr1_6732348_6732870	St18	2247	distal
chr1_6733511_6735976	St18	-1599	distal
chr1_6739161_6739421	St18	1587	distal
chr1_6752080_6752600	St18	14506	distal
chr1_6756686_6756958	St18	19112	distal
chr1_6757836_6757845	St18	20262	distal
chr1_6759380_6759699	St18	21806	distal
chr1_6760489_6761799	St18	22915	distal
chr1_6769988_6770290	St18	32414	distal
chr1_6790066_6790610	St18	52492	distal
chr1_6799812_6801306	St18	62238	distal
chr1_6805272_6805379	St18	67698	distal
chr1_6823411_6823940	St18	85837	distal
chr1_6825043_6826173	St18	87469	distal
chr1_6858972_6859445	St18	121398	distal
chr1_6866796_6867321	St18	129222	distal
chr1_6928662_6929113	Pcmtd1	-159807	distal
chr1_6938728_6938954	Pcmtd1	-149966	distal
chr1_7010166_7010562	Pcmtd1	-78358	distal
chr1_7087830_7090176	Pcmtd1	0	promoter
chr1_7138368_7139796	Pcmtd1	49449	distal
chr1_7204706_7205202	Pcmtd1	115787	distal
chr1_7206133_7207417	Pcmtd1	117214	distal
chr1_7218842_7219325	Pcmtd1	129923	distal
chr1_7313407_7313802	Gm26901	83993	distal
chr1_7393667_7396034	Gm26901	1761	distal
chr1_7396732_7399255	Gm26901	0	promoter
chr1_7543503_7543860	Gm30414	45536	distal
chr1_7750954_7750990			intergenic
chr1_8410492_8411164	Sntg1	0	distal
chr1_8468876_8468942	Sntg1	0	distal
chr1_8496419_8496640	Sntg1	0	distal
chr1_8583080_8583232	Sntg1	0	distal
chr1_8678799_8679088	Sntg1	124855	distal
chr1_8863694_8864168	Sntg1	-59752	distal
chr1_8938936_8939196	Sntg1	-134994	distal
chr1_8948186_8948603	Sntg1	-144244	distal
chr1_9207606_9207648	Sntg1	90925	distal
chr1_9298234_9301034	Sntg1	0	promoter
chr1_9458849_9458896	Rrs1	-86512	distal
chr1_9541162_9541718	Rrs1	-3690	distal
chr1_9544698_9546798	Rrs1	0	promoter
chr1_9547798_9549425	Adhfe1	0	promoter
chr1_9564349_9564978	Adhfe1;2610203C22Rik	16402;0	distal;distal
chr1_9573167_9573661	Adhfe1;2610203C22Rik	25220;0	distal;distal
chr1_9577869_9578665	Adhfe1;Vxn;2610203C22Rik	0;-22534;0	distal;distal;distal
chr1_9583410_9584414	Vxn;2610203C22Rik	-16785;0	distal;distal
chr1_9600826_9602492	Vxn;2610203C22Rik	0;0	promoter;distal
chr1_9619686_9619803	Vxn;2610203C22Rik	0;11289	distal;distal
chr1_9621398_9623361	Vxn;2610203C22Rik	0;7731	distal;distal
chr1_9627119_9628381	Vxn;2610203C22Rik	0;2711	distal;distal
chr1_9629230_9631045	2610203C22Rik	47	promoter
chr1_9648858_9649661	Gm29520	-8277	distal
chr1_9695663_9695843	Mybl1	4181	distal
chr1_9696611_9697257	Mybl1	2767	distal
chr1_9699403_9701432	Mybl1	0	promoter
chr1_9703031_9703454	Mybl1	-2823	distal
chr1_9747209_9749170	Vcpip1;1700034P13Rik	0;0	promoter;promoter
chr1_9772674_9774462	Sgk3;1700034P13Rik	-23645;0	distal;distal
chr1_9797382_9799444	Sgk3	0	promoter
chr1_9805562_9806205	Sgk3	7420	distal
chr1_9812353_9812401	Sgk3	14211	distal
chr1_9815454_9816379	Sgk3	17312	distal
chr1_9819252_9819584	Sgk3	21110	distal
chr1_9841655_9842173	Sgk3	-6099	distal
chr1_9847479_9849170	Sgk3	0	promoter
chr1_9906871_9907198	Mcmdc2	-1440	distal
chr1_9908364_9909038	Mcmdc2	0	promoter
chr1_9942399_9944849	Snhg6	0	promoter
chr1_9953120_9953849	Tcf24	8960	distal
chr1_9966796_9969224	Ppp1r42;Tcf24	0;0	distal;promoter
chr1_10007162_10007674	Ppp1r42	1462	distal
chr1_10008478_10009899	Ppp1r42	0	promoter
chr1_10011894_10012220	Ppp1r42	-2759	distal
chr1_10014328_10014863	Ppp1r42	-5193	distal
chr1_10037049_10040677	Cops5;Cspp1	0;0	promoter;promoter
chr1_10089494_10089974	Cspp1	43002	distal
chr1_10197012_10197285	Arfgef1	35385	distal
chr1_10229012_10229350	Arfgef1	3320	distal
chr1_10231403_10234085	Arfgef1	0	promoter
chr1_10327841_10328409	Cpa6;Arfgef1	0;-95172	distal;distal
chr1_10397841_10398182	Cpa6;Arfgef1	0;-165172	distal;distal
chr1_10403926_10403965	Cpa6;Arfgef1	0;-171257	distal;distal
chr1_10429904_10430273	Cpa6;Arfgef1	0;-197235	distal;distal
chr1_10452100_10452921	Cpa6	0	distal
chr1_10510374_10510900	Cpa6	0	distal
chr1_10596157_10597174	Cpa6	122771	distal
chr1_10719505_10720331	Cpa6	0	promoter
chr1_10759630_10759932	Cpa6	-39686	distal
chr1_10771779_10772239	Cpa6	-51835	distal
chr1_10794016_10794868	Cpa6	-74072	distal
chr1_10835644_10836120	Cpa6	-115700	distal
chr1_10837187_10837536	Cpa6	-117243	distal
chr1_10871148_10872044	Prex2	-121421	distal
chr1_10877639_10877747	Prex2	-115718	distal
chr1_10942923_10943329	Prex2	-50136	distal
chr1_10990771_10991325	Prex2	-2140	distal
chr1_10992915_10994532	Prex2	0	promoter
chr1_11027123_11027270	Prex2	33659	distal
chr1_11033233_11033987	Prex2	39769	distal
chr1_11045051_11046901	Prex2	51587	distal
chr1_11065368_11065525	Prex2	71904	distal
chr1_11089660_11089950	Prex2	96196	distal
chr1_11116492_11117637	Prex2	123028	distal
chr1_11139927_11140281	Prex2	146463	distal
chr1_11177764_11178101	Prex2	184300	distal
chr1_11179913_11180362	Prex2	186449	distal
chr1_11268118_11268872	Prex2;A830018L16Rik	0;-145233	distal;distal
chr1_11329376_11330468	A830018L16Rik	-83637	distal
chr1_11413329_11415038	A830018L16Rik	0	promoter
chr1_11458251_11458857	A830018L16Rik	43743	distal
chr1_11565285_11565715	A830018L16Rik	150777	distal
chr1_11567220_11567841	A830018L16Rik	152712	distal
chr1_11650016_11650567	A830018L16Rik	0	distal
chr1_11652699_11653416	A830018L16Rik	0	distal
chr1_11657652_11658166	A830018L16Rik	0	distal
chr1_11748375_11748883	A830018L16Rik	0	distal
chr1_11795731_11795991	A830018L16Rik	0	distal
chr1_11895727_11896147	A830018L16Rik	0	distal
chr1_11915858_11916303	A830018L16Rik	0	distal
chr1_11931572_11932205	A830018L16Rik	0	distal
chr1_11936886_11937510	A830018L16Rik	0	distal
chr1_11980473_11980780			intergenic
chr1_11982428_11982984			intergenic
chr1_11988092_11988211			intergenic
chr1_11997566_11997905			intergenic
chr1_12000683_12000837			intergenic
chr1_12010661_12010955			intergenic
chr1_12092129_12093587			intergenic
chr1_12115415_12115882			intergenic
chr1_12192568_12192802			intergenic
chr1_12250571_12250666			intergenic
chr1_12286109_12286504			intergenic
chr1_12398350_12398635			intergenic
chr1_12405829_12406218			intergenic
chr1_12409739_12410932			intergenic
chr1_12500452_12500647	Gm17644	-166916	distal
chr1_12509689_12510154	Gm17644	-157409	distal
chr1_12555790_12556308	Gm17644	-111255	distal
chr1_12571957_12572418	Gm17644	-95145	distal
chr1_12576914_12577734	Gm17644	-89829	distal
chr1_12640926_12641820	Gm17644	-25743	distal
chr1_12671841_12672143	Gm17644;Gm29663	0;-666	distal;promoter
chr1_12675641_12675700	Gm29663	-4466	distal
chr1_12689018_12690003	Sulf1	-2274	distal
chr1_12691792_12693969	Sulf1	0	promoter
chr1_12706520_12706540	Sulf1	-11989	distal
chr1_12710671_12711217	Sulf1	-7312	distal
chr1_12717987_12718675	Sulf1	0	promoter
chr1_12771059_12771696	Sulf1	52531	distal
chr1_12785341_12785668	Sulf1	66813	distal
chr1_12795503_12796113	Sulf1	76975	distal
chr1_12805773_12806605	Sulf1	87245	distal
chr1_12811218_12811374	Sulf1	92690	distal
chr1_12825984_12826442	Sulf1	107456	distal
chr1_12832645_12833582	Sulf1	114117	distal
chr1_12834594_12837237	Sulf1	116066	distal
chr1_12851892_12852414	Sulf1	133364	distal
chr1_12863778_12865476	Slco5a1	125438	distal
chr1_12871992_12872479	Slco5a1	118435	distal
chr1_12895241_12895799	Slco5a1	95115	distal
chr1_12947283_12948058	Slco5a1	42856	distal
chr1_12984830_12985195	Slco5a1	5719	distal
chr1_12989929_12993448	Slco5a1	0	promoter
chr1_13004795_13005680	Slco5a1	-12146	distal
chr1_13018434_13019852	Slco5a1	-25785	distal
chr1_13050077_13050771	Gm29283	-18067	distal
chr1_13051914_13052451	Gm29283	-16387	distal
chr1_13057928_13057992	Gm29283	-10846	distal
chr1_13069582_13070058	Gm29283	745	distal
chr1_13103582_13104517	Prdm14	22646	distal
chr1_13117709_13118338	Prdm14	8825	distal
chr1_13124551_13129078	Prdm14	0	promoter
chr1_13134351_13134703	Prdm14	-7189	distal
chr1_13142036_13143293	Ncoa2;Prdm14	0;-14874	distal;distal
chr1_13151039_13151572	Ncoa2;Prdm14	0;-23877	distal;distal
chr1_13152692_13153138	Ncoa2;Prdm14	0;-25530	distal;distal
chr1_13164011_13164210	Ncoa2;Prdm14	0;-36849	distal;distal
chr1_13171089_13171646	Ncoa2;Prdm14	0;-43927	distal;distal
chr1_13183281_13183830	Ncoa2;Prdm14	0;-56119	distal;distal
chr1_13188080_13189500	Ncoa2;Prdm14	0;-60918	distal;distal
chr1_13190703_13191701	Ncoa2;Prdm14	0;-63541	distal;distal
chr1_13196078_13197548	Ncoa2;Prdm14	0;-68916	distal;distal
chr1_13214468_13214605	Ncoa2;Prdm14	0;-87306	distal;distal
chr1_13230415_13230918	Ncoa2;Prdm14	0;-103253	distal;distal
